task_id,title,wave,priority,dependencies,live_test,status,coding_revision,pytest_verdict,live_verdict
PRD-025,Bounded Runtime-Verifier Evidence Package,Wave 5,P0,PRD-024,REQUIRED,NOT_STARTED,,,
PRD-026,Universal Retry Progress Invariant Audit and Closure,Wave 5,P1,PRD-025,REQUIRED,NOT_STARTED,,,
PRD-027,Context Recall Certification Suite,Wave 5,P1,PRD-026,REQUIRED,NOT_STARTED,,,
PRD-028,Dynamic Mutation Authority Escalation and Language Adapter Contract,Wave 5,P1,PRD-027,REQUIRED,NOT_STARTED,,,
PRD-029,ContractRegistry Lifecycle Closure,Wave 5,P1,PRD-028,REQUIRED,NOT_STARTED,,,
PRD-030,Extract TerminalGateService and CommitService,Wave 6,P2,PRD-029,NOT REQUIRED,NOT_STARTED,,,
PRD-031,Extract Verification and Recovery Coordination Services,Wave 6,P2,PRD-030,NOT REQUIRED,NOT_STARTED,,,
PRD-032,Adversarial and Crash Chaos Harness,Wave 7,P0,PRD-031,REQUIRED,NOT_STARTED,,,
PRD-033,Production Telemetry and False-Success Metrics,Wave 7,P1,PRD-032,REQUIRED,NOT_STARTED,,,
PRD-034,Full Pytest and CI Production Certification,Wave 7,P0,PRD-033,NOT REQUIRED,NOT_STARTED,,,
PRD-035,Live Local-Model Certification Matrix,Wave 7,P0,PRD-034,REQUIRED,NOT_STARTED,,,
PRD-036,Canary Rollout and Final Production Gate,Wave 8,P0,PRD-035,REQUIRED,NOT_STARTED,,,
